year,oil_prod,earthquake
1970,2648576528.490959,12
1971,2808471759.0753427,6
1972,2967039493.158904,7
1973,3230064446.947945,8
1974,3267346845.410959,6
1975,3148672320.830137,5
1976,3416437379.4876714,21
1977,3544284515.39589,14
1978,3556418821.6726027,9
1979,3739902384.5972605,22
1980,3617329097.9136987,17
1981,3466199092.336986,15
1982,3293388317.0383563,15
1983,3276521003.446575,26
1984,3298603142.813699,13
1985,3300511227.160274,17
1986,3453970418.2141094,21
1987,3486688583.261644,15
1988,3617256655.4342465,15
1989,3633945201.3767123,19
1990,3659605615.6246576,41
1991,3133187647.1,29
1992,3164016571.75,25
1993,3165203031.64,20
1994,3205209938.83,25
1995,3267717802.63,26
1996,3366651052.58,13
1997,3463864446.67,23
1998,3535268084.62,30
1999,3459066540.46,33
2000,3600008289.51,30
2001,3289884778.466,25
2002,3244257649.184,37
2003,3364916087.514,40
2004,3529554659.666,42
2005,3606464680.258,25
2006,3601730757.428,24
2007,3581772065.408,21
2008,3622377857.978,23
2009,3558312226.056,22
2010,3649272553.156,24
2011,3666481277.688,30
2012,3755662032.57,27
2013,3776015226.028,29
2014,3837104999.262,26
